year,area,RobH,BrianS,MistyM,maxCatch,minCatch,PieterVW,Pieter2018
1980,12,NA,411292,411292,411292,411292,0.148484021,NA
1981,12,NA,75120,75120,75120,75120,0.025958752,NA
1982,12,NA,694299,694299,694299,694299,0.235610162,NA
1983,12,NA,105035,105035,105035,105035,0.041242828,NA
1984,12,NA,47882,47882,47882,47882,0.014670921,NA
1985,12,NA,384589,384589,384589,384589,0.063599467,NA
1986,12,NA,683603,683603,683603,683603,0.18497858,NA
1987,12,NA,75971,75971,75971,75971,0.032695414,NA
1988,12,NA,515549,515549,515549,515549,0.173491697,NA
1989,12,NA,280329,280329,280329,280329,0.144627469,NA
1990,12,NA,612906,612906,612906,612906,0.168744674,NA
1991,12,NA,169083,169083,169083,169083,0.064023233,NA
1992,12,NA,790139,790139,790139,790139,0.192648905,NA
1993,12,NA,638461,638461,638461,638461,0.157334491,NA
1994,12,NA,680852,680852,680852,680852,0.172305508,NA
1995,12,NA,166095,166095,166095,166095,0.125053343,NA
1996,12,44179,44179,47058,47058,44179,0.078163457,NA
1997,12,52929,52929,74307,74307,52929,0.045061734,NA
1998,12,478479,478479,562798,562798,478479,0.113736795,NA
1999,12,236,236,21192,21192,236,0.034222836,NA
2000,12,110091,110091,NA,110091,110091,0.096318246,89675
2001,12,108904,108904,NA,108904,108904,0.041340147,109270
2002,12,221222,221222,NA,221222,221222,0.064454051,240083
2003,12,354292,354292,NA,354292,354292,0.09420399,383051
2004,12,514865,514865,NA,514865,514865,0.111701277,520277
2005,12,251542,251542,NA,251542,251542,0.117801855,298538
2006,12,405231,405231,NA,405231,405231,0.093177946,410822
2007,12,69633,69633,NA,69633,69633,0.031089208,69778
2008,12,108956,108956,NA,108956,108956,0.061745708,108991
2009,12,170800,170800,NA,170800,170800,0.07015368,170803
2010,12,34964,34964,NA,34964,34964,NA,35028
2011,12,NA,NA,NA,NA,NA,,362406
2012,12,NA,NA,NA,NA,NA,,140891
2013,12,NA,NA,NA,NA,NA,,256895
2014,12,NA,NA,NA,NA,NA,,96284
2015,12,NA,NA,NA,NA,NA,,248757
2016,12,NA,NA,NA,NA,NA,,361225
2017,12,NA,NA,NA,NA,NA,,143820
